277234	1674998460	23603.0	23583.5	23583.5	23603.5
277233	1674998400	23607.0	23603.0	23596.0	23610.5
277232	1674998340	23585.5	23607.0	23585.5	23616.0
277231	1674998280	23599.0	23585.5	23584.0	23626.5
277230	1674998220	23592.0	23599.0	23585.0	23618.5
277229	1674998160	23565.5	23592.0	23559.0	23595.5
277228	1674998100	23554.5	23565.5	23554.5	23575.0
277227	1674998040	23575.0	23554.5	23550.5	23575.5
277226	1674997980	23575.0	23575.0	23557.5	23590.5
277225	1674997920	23551.5	23575.0	23548.0	23582.0
277224	1674997860	23579.5	23551.5	23547.5	23662.0
277223	1674997800	23529.0	23579.5	23520.5	23582.0
277222	1674997740	23511.5	23529.0	23498.0	23529.0
277221	1674997680	23510.5	23511.5	23510.5	23521.0
277220	1674997620	23508.0	23510.5	23506.0	23510.5
277219	1674997560	23498.5	23508.0	23496.5	23509.5
277218	1674997500	23483.5	23498.5	23483.0	23500.0
277217	1674997440	23474.5	23483.5	23474.5	23488.0
277216	1674997380	23465.0	23474.5	23464.5	23474.5
277215	1674997320	23476.5	23465.0	23465.0	23476.5
277214	1674997260	23472.5	23476.5	23460.5	23476.5
277213	1674997200	23475.5	23472.5	23467.5	23475.5
277212	1674997140	23493.5	23475.5	23475.5	23495.0
277211	1674997080	23498.5	23493.5	23486.0	23502.5
277210	1674997020	23497.0	23498.5	23488.5	23500.0
277209	1674996960	23479.5	23497.0	23478.0	23503.5
277208	1674996900	23484.5	23479.5	23477.0	23489.5
277207	1674996840	23490.0	23484.5	23462.5	23490.0
277206	1674996780	23498.0	23490.0	23490.0	23511.0
277205	1674996720	23512.5	23498.0	23494.0	23516.5
277204	1674996660	23500.0	23512.5	23500.0	23533.0
277203	1674996605	23479.5	23500.0	23476.5	23507.5
277202	1674996540	23465.0	23479.5	23455.0	23487.0
277201	1674996480	23447.5	23465.0	23447.5	23467.5
277200	1674996420	23474.0	23447.5	23437.0	23481.5
277199	1674996360	23420.5	23474.0	23420.5	23478.0
277198	1674996300	23411.5	23420.5	23410.0	23421.5
277197	1674996240	23399.5	23411.5	23399.5	23414.0
277196	1674996180	23395.5	23399.5	23394.0	23400.5
277195	1674996120	23387.5	23395.5	23387.5	23395.5
277194	1674996060	23375.0	23387.5	23374.0	23388.0
277193	1674996003	23389.5	23375.0	23375.0	23390.0
277192	1674995940	23385.5	23389.5	23385.5	23390.0
277191	1674995880	23378.5	23385.5	23377.0	23387.0
277190	1674995820	23376.0	23378.5	23375.0	23379.0
277189	1674995760	23373.5	23376.0	23364.5	23378.5
277188	1674995700	23376.5	23373.5	23373.5	23380.0
277187	1674995640	23380.5	23376.5	23375.5	23381.5
277186	1674995580	23387.0	23380.5	23380.5	23387.0
277185	1674995520	23395.0	23387.0	23386.5	23395.5
277184	1674995463	23389.5	23395.0	23389.5	23395.5
277183	1674995400	23386.0	23389.5	23380.5	23390.0
277182	1674995340	23379.0	23386.0	23377.0	23392.5
277181	1674995280	23390.0	23379.0	23375.0	23390.5
277180	1674995220	23397.0	23390.0	23390.0	23397.5
277179	1674995160	23397.5	23397.0	23393.5	23398.5
277178	1674995103	23385.5	23397.5	23385.5	23399.0
277177	1674995040	23385.5	23385.5	23383.0	23386.0
277176	1674994980	23387.5	23385.5	23380.0	23388.0
277175	1674994920	23384.5	23387.5	23384.5	23395.0
277174	1674994860	23364.0	23384.5	23364.0	23384.5
277173	1674994800	23351.0	23364.0	23348.0	23364.0
277172	1674994740	23368.5	23351.0	23347.0	23371.0
277171	1674994680	23382.0	23368.5	23357.5	23382.0
277170	1674994620	23386.0	23382.0	23378.0	23386.0
277169	1674994560	23388.5	23386.0	23385.5	23389.5
277168	1674994500	23393.0	23388.5	23385.0	23395.0
277167	1674994440	23402.5	23393.0	23390.5	23402.5
277166	1674994380	23404.0	23402.5	23400.0	23409.5
277165	1674994320	23410.5	23404.0	23401.0	23410.5
277164	1674994260	23410.5	23410.5	23409.0	23412.0
277163	1674994200	23421.0	23410.5	23408.5	23421.0
277162	1674994140	23419.0	23421.0	23414.5	23423.0
277161	1674994080	23425.5	23419.0	23415.0	23426.5
277160	1674994020	23428.5	23425.5	23425.5	23428.5
277159	1674993960	23414.5	23428.5	23414.5	23428.5
277158	1674993900	23429.5	23414.5	23411.0	23429.5
277157	1674993840	23413.0	23429.5	23412.5	23430.5
277156	1674993780	23420.5	23413.0	23412.5	23420.5
277155	1674993720	23435.0	23420.5	23420.0	23439.0
277154	1674993660	23426.5	23435.0	23426.5	23436.5
277153	1674993600	23421.5	23426.5	23421.5	23428.5
277152	1674993540	23431.0	23421.5	23421.5	23431.0
277151	1674993480	23427.0	23431.0	23419.0	23431.5
277150	1674993420	23424.5	23427.0	23419.0	23432.5
277149	1674993360	23412.0	23424.5	23411.5	23427.5
277148	1674993300	23413.5	23412.0	23409.5	23421.5
277147	1674993240	23409.5	23413.5	23401.0	23414.0
277146	1674993180	23394.0	23409.5	23394.0	23414.5
277145	1674993120	23389.0	23394.0	23388.5	23397.5
277144	1674993060	23387.5	23389.0	23386.0	23389.0
277143	1674993000	23388.5	23387.5	23373.0	23388.5
277142	1674992940	23386.0	23388.5	23381.5	23388.5
277141	1674992880	23379.0	23386.0	23378.0	23387.5
277140	1674992820	23385.0	23379.0	23377.5	23386.0
277139	1674992760	23377.0	23385.0	23375.0	23385.0
277138	1674992700	23376.5	23377.0	23376.0	23385.5
277137	1674992640	23392.5	23376.5	23373.5	23392.5
277136	1674992580	23386.5	23392.5	23381.5	23393.5
277135	1674992520	23400.5	23386.5	23386.5	23400.5
